ROUND TABLE PIZZA #1356,851 CHERRY AVE,SAN BRUNO,CA
IKES LOVE AND SANDWICHES,901 POLK ST,SAN FRANCISCO,CA
THE FILLMORE PNTO,1805 GEARY BLVD,SAN FRANCISCO,CA
LOUS CAFE,1508 TARAVAL ST,SAN FRANCISCO,CA
CAPURROS,498 JEFFERSON ST,SAN FRANCISCO,CA
THE SOCIALITE CRAFTHOUSE & KITCHEN,79 JEFFERSON ST,SAN FRANCISCO,CA
EXTREME PIZZA,1980 UNION ST,SAN FRANCISCO,CA
BURSA,60 WEST PORTAL AVE,SAN FRANCISCO,CA
HAWTHORN,47 MAIDEN LN,SAN FRANCISCO,CA
"ROYAL EXCHANGE, THE",301 SACRAMENTO ST,SAN FRANCISCO,CA
VESUVIO CAFE.,255 COLUMBUS AVE,SAN FRANCISCO,CA
SF HOLE IN THE WALL PIZZA,1825 IRVING ST,SAN FRANCISCO,CA
KRISPY KRUNCHY CHICKEN,2660 MASON ST,SAN FRANCISCO,CA
BILL'S PLACE,2315 CLEMENT ST,SAN FRANCISCO,CA
TENNESSEE GRILL,1128 TARAVAL ST,"SAN FRANCISCO,",CA
PEARLS DELUXE BURGERS,708 POST ST,SAN FRANCISCO,CA
KEZAR PUB,770 STANYAN ST,SAN FRANCISCO,CA
TADICH GRILL,240 CALIFORNIA ST,SAN FRANCISCO,CA
MERSEA,699 AVENUE OF THE PALMS AVE,SAN FRANCISCO,CA
MAD DOG IN THE FOG,1568 HAIGHT ST,SAN FRANCISCO,CA
TOWNS END BRUNCH,2 TOWNSEND ST,SAN FRANCISCO,CA
ACQUOLINA,1600 STOCKTON ST,SAN FRANCISCO,CA
LEE'S DELI,117 NEW MONTGOMERY ST,SAN FRANCISCO,CA
LOUS CAFE,5017 GEARY BLVD,SAN FRANCISCO,CA
SEARS FINE FOODS,439 POWELL ST,SAN FRANCISCO,CA
STEPS OF ROME,401 COLUMBUS AVE,SAN FRANCISCO,CA
BIMBOS 365 CLUB,1025 COLUMBUS AVE,SAN FRANCISCO,CA
MUSTAFIOS PIZZA,1116 POLK ST,SAN FRANCISCO,CA
WETZELS PRETZELS S-738,170 OFARRELL ST,SAN FRANCISCO,CA
LE PETIT PARIS 75,515 BROADWAY,SAN FRANCISCO,CA
HOUSE OF DIM SUM,735 JACKSON ST,SAN FRANCISCO,CA
PUNCHLINE COMEDY CLUB,444 BATTERY ST,SAN FRANCISCO,CA
EMBER GRILL,670 LARKIN ST,SAN FRANCISCO,CA
OPA DELI,2401 POST ST,SAN FRANCISCO,CA
CHOWDERS,#121 PIER 39,SAN FRANCISCO,CA
PENTHOUSE,412 BROADWAY,SAN FRANCISCO,CA
MAYES OYSTER HOUSE,1233 POLK ST,SAN FRANCISCO,CA
MONA LISA MARE E MONTI,414 COLUMBUS AVE,SAN FRANCISCO,CA
THE NEW SPOT ON POLK,2401 POLK ST,SAN FRANCISCO,CA
THE BLUE LIGHT,1979 UNION ST,SAN FRANCISCO,CA
"MINT B AND R INC, THE",1942 MARKET ST,SAN FRANCISCO,CA
MOMOS**,760 2ND ST,SAN FRANCISCO,CA
STAR BAGELS,1475 POLK ST,SAN FRANCISCO,CA
CAPO'S CHICAGO**IA,641 VALLEJO ST,SAN FRANCISCO,CA
SMUGGLERS COVE,650 GOUGH ST,SAN FRANCISCO,CA
BEEPS BURGERS,1051 OCEAN AVE,SAN FRANCISCO,CA
PIZZA ZONE,555 BEACH ST,SAN FRANCISCO,CA
"HUSTLER CLUB, THE",240 COLUMBUS AVE,SAN FRANCISCO,CA
TOY SOLDIER,52 BELDEN PL,SAN FRANCISCO,CA
PARIS DESSERTS,1365 FILLMORE ST,SAN FRANCISCO,CA
MR BINGS.,201 COLUMBUS AVE,SAN FRANCISCO,CA
TACOLICIOUS,2250 CHESTNUT ST,SAN FRANCISCO,CA
PRIMO PIZZA,1064 DIVISADERO ST,SAN FRANCISCO,CA
HAWTHORN LOUNGE,46 GEARY ST,SAN FRANCISCO,CA
ROUND TABLE PIZZA 63,1503 N POINT ST,SAN FRANCISCO,CA
HOLDING COMPANY,2 EMBARCADERO CTR,SAN FRANCISCO,CA
OZZYS GRILL & CAFE,21 DRUMM ST,SAN FRANCISCO,CA
NICKS LIGHTHOUSE #2,2801 LEAVENWORTH STREET,SAN FRANCISCO,CA
Z CIOCCOLATO,474 COLUMBUS AVE,SAN FRANCISCO,CA
MIXT 21,2300 POLK ST,SAN FRANCISCO,CA
PANTA REI,431 COLUMBUS AVE,SAN FRANCISCO,CA
YEMEN KABAB & MEDITERRANEAN,39 TAYLOR ST,SAN FRANCISCO,CA
SUPER DUPER CHESNUT,2201 CHESTNUT ST,SAN FRANCISCO,CA
ONCE UPONA A DOSA,35 KEARNY ST,SAN FRANCISCO,CA
SAMMYS CAFE SF,1416 BUSH ST,SAN FRANCISCO,CA
SAN FRANCISCO ATHLETIC CLUB,1750 DIVISADERO ST,SAN FRANCISCO,CA
PIZZA JOINT,3088 BALBOA ST,SAN FRANCISCO,CA
THE HUNGRY SPOT,2077 HAYES ST,SAN FRANCISCO,CA
DONUTS & THINGS,1549 POLK ST,SAN FRANCISCO,CA
CHICOS PIZZA,468 ELLIS ST,SAN FRAN,CA
POLK MARKET,634 POLK ST,SAN FRANCISCO,CA
B ON THE GO,2794 CALIFORNIA ST,SAN FRANCISCO,CA
"BATTERY, THE",717 BATTERY ST,SAN FRANCISCO,CA
IRVING PIZZA 2,1825 IRVING ST,SAN FRANCISCO,CA
ACES,998 SUTTER ST,SAN FRANCISCO,CA
REVERB,2801 LEAVENWORTH ST,SAN FRANCISCO,CA
SPECS,250 COLUMBUS AVE,SAN FRANCISCO,CA
L & L HAWAIIAN BBQ,312 KEARNY ST,SAN FRANCISCO,CA
RED JACK SALOON,131 BAY ST,SAN FRANCISCO,CA
HA-RA CLUB,875 GEARY ST,SAN FRANCISCO,CA
TUNNEL TOP LOUNGE AND BAR,601 BUSH ST,SAN FRANCISCO,CA
LOST MARBLES BREW PUB,823 CLEMENT ST,SAN FRANCISCO,CA
MCTEAGUES SALOON,1237 POLK ST,SAN FRANCISCO,CA
ORIELLYS PUB,1840 HAIGHT ST,SAN FRANCISCO,CA
FRANCOS LATIN TABLE,24 WEST PORTAL AVE,SAN FRANCISCO,CA
FOOD & LIQUOR WORLD,726 POST ST,SAN FRANCISCO,CA
RT ROTISSERIE,101 OAK ST,SAN FRANCISCO,CA
SCARLET LOUNGE,408 CLEMENT ST,SAN FRANCISCO,CA
"RIPTIDE, THE",3639 TARAVAL ST,SAN FRANCISCO,CA
LOKMA,1801 CLEMENT ST,SAN FRANCISCO,CA
HAYES ST GRILL,320 HAYES ST,SAN FRANCISCO,CA
YOUNGS KUNG FOO ACTION THEATER AND,841 LARKIN ST,SAN FRANCISCO,CA
PIZZERIA AVELLINO,2769 LOMBARD ST,SAN FRANCISCO,CA
SEAKOR POLISH DELICATESSEN,5957 GEARY BLVD,SAN FRANCISCO,CA
SUPER DUPER IRVING,737 IRVING ST,SAN FRANCISCO,CA
PAPA MAKS BURGERS,3755 NORIEGA ST,SAN FRANCISCO,CA
BURGER LITTLES,4 EMBARCADERO CTR,SAN FRANCISCO,CA
THE CRAB STATION,2803 TAYLOR ST,SAN FRANCISCO,CA
TAISHO SF,1161 POST ST,SAN FRANCISCO,CA
MARINA DELI & LIQUORS,2299 CHESTNUT ST,SAN FRANCISCO,CA
FOOD BASKET MARKET DELI,475 FELL ST,SAN FRANCISCO,CA
YEMEN KITCHEN,219 JONES ST,SAN FRANCISCO,CA
KOZY KAR*NSF,1548 POLK ST,SAN FRANCISCO,CA
LITTLE SHAMROCK,807 LINCOLN WAY,SAN FRANCISCO,CA
HUSTLER CLUB SFBAR NON ALOCOL,1031 KEARNY ST,SAN FRANCISCO,CA
HI-WAY HAMBURGER COLUMBUS,411 COLUMBUS AVE,SAN FRANCISCO,CA
HARRY'S BAR,2020 FILLMORE ST,SAN FRANCISCO,CA
LOUS CAFE,275 BATTERY ST,SAN FRANCISCO,CA
SUPER DUPER CALIFORNIA ST,3401 CALIFORNIA ST,SAN FRANCISCO,CA
CENTERFOLDS,391 BROADWAY,SAN FRANCISCO,CA
CAFE BUENOS AIRES,644 POLK ST,SAN FRANCISCO,CA
